title,visibility,duration,file_size_bytes,file_size_human,video_url
Darauli,public,PT2M17S,,unknown,https://www.youtube.com/watch?v=73S8CN9pBt0
Daraunda,public,PT2M26S,,unknown,https://www.youtube.com/watch?v=DCEI5T214vw
Gaighat,public,PT2M47S,,unknown,https://www.youtube.com/watch?v=F2Vp0_CZ7XI
Gopalganj,public,PT2M43S,,unknown,https://www.youtube.com/watch?v=sWh7dkslA-M
Darauli hindi,public,PT2M21S,,unknown,https://www.youtube.com/watch?v=yNDGZB8V9BE
Digha,public,PT4M4S,,unknown,https://www.youtube.com/watch?v=kVVIeNFDfXE
Darbhanga,public,PT4M50S,,unknown,https://www.youtube.com/watch?v=cs3UEyjiiyU
Ekma,public,PT3M26S,,unknown,https://www.youtube.com/watch?v=POikGXxEhUA
Fatuha,public,PT4M5S,,unknown,https://www.youtube.com/watch?v=DxTTljY5LkQ
Garkha,public,PT4M41S,,unknown,https://www.youtube.com/watch?v=eQQNqUWpI54
Gaura bauram,public,PT4M1S,,unknown,https://www.youtube.com/watch?v=4LTNTerwfME
Darbhanga hindi,public,PT4M59S,,unknown,https://www.youtube.com/watch?v=BX45ewX2ENY
Darbhanga rural,public,PT4M41S,,unknown,https://www.youtube.com/watch?v=v3JGxB4EPYo
Dumraon hindi,public,PT5M42S,,unknown,https://www.youtube.com/watch?v=ynixceBxfk4
Darbhanga rural hindi,public,PT4M59S,,unknown,https://www.youtube.com/watch?v=Du--JwoS3D8
Dumraon,public,PT5M26S,,unknown,https://www.youtube.com/watch?v=7dygfvjNRgI
Barh hindi,public,PT4M8S,,unknown,https://www.youtube.com/watch?v=5mTuGYy7mpM
Aurai Hindi,public,PT2M39S,,unknown,https://www.youtube.com/watch?v=ryrFZrkqaUE
Aurai,public,PT2M33S,,unknown,https://www.youtube.com/watch?v=8VC3-QjROBY
Bachhwara hindi,public,PT2M52S,,unknown,https://www.youtube.com/watch?v=cnPXVr9Kmkc
Bakhtiarpur hindi,public,PT2M51S,,unknown,https://www.youtube.com/watch?v=kEamv9vZsq8
Bihariganj hindi,public,PT2M45S,,unknown,https://www.youtube.com/watch?v=hDmMBc3hYrI
Cheria Bariarpur hindi,public,PT3M19S,,unknown,https://www.youtube.com/watch?v=nufi1U2cH9c
Chapra hindi,public,PT3M38S,,unknown,https://www.youtube.com/watch?v=5faApJvIaXY
Brahampur hindi,public,PT3M1S,,unknown,https://www.youtube.com/watch?v=xaimTyaWMXY
Bikram hindi,public,PT3M37S,,unknown,https://www.youtube.com/watch?v=XUar7Y1yccs
Barauli hindi,public,PT3M10S,,unknown,https://www.youtube.com/watch?v=z2d01kdRUso
Bankipur hindi,public,PT3M32S,,unknown,https://www.youtube.com/watch?v=OuFhB9j1H6U
Baniapur hindi,public,PT3M10S,,unknown,https://www.youtube.com/watch?v=ColYGiqc_4k
Bahadurpur Hindi,public,PT6M5S,,unknown,https://www.youtube.com/watch?v=us2HVxErdho
Bakhtiarpur,public,PT2M49S,,unknown,https://www.youtube.com/watch?v=BSBWVWRqkRE
Brahampur,public,PT2M53S,,unknown,https://www.youtube.com/watch?v=eJzaI1Z4_Sw
Chapra,public,PT3M31S,,unknown,https://www.youtube.com/watch?v=NNtlu1yJY9U
Bahadurpur,public,PT5M48S,,unknown,https://www.youtube.com/watch?v=V4bykPK-PB8
Barh,public,PT3M52S,,unknown,https://www.youtube.com/watch?v=d1Yj3Ise4SY
Baniapur,public,PT3M1S,,unknown,https://www.youtube.com/watch?v=wktBug_aSU8
Bankipur,public,PT3M15S,,unknown,https://www.youtube.com/watch?v=0Y8pWUzjTrU
Bikram,public,PT3M30S,,unknown,https://www.youtube.com/watch?v=vuwJAVDG_Fg
Bachhwara,public,PT2M44S,,unknown,https://www.youtube.com/watch?v=JjiQLLbTkUo
Bihariganj,public,PT2M33S,,unknown,https://www.youtube.com/watch?v=ndePuJ1D_ck
Arrah,public,PT3M55S,,unknown,https://www.youtube.com/watch?v=yvLo0pw6TDA
Barauli,public,PT3M3S,,unknown,https://www.youtube.com/watch?v=XfuWi2V8FVY
Barhara,public,PT4M25S,,unknown,https://www.youtube.com/watch?v=8VlDUBnZh1g
Biharsharif,public,PT3M27S,,unknown,https://www.youtube.com/watch?v=oq4e-IENNZQ
Cheria,public,PT3M7S,,unknown,https://www.youtube.com/watch?v=ENT0Vil4-B0
Bhore,public,PT1M53S,,unknown,https://www.youtube.com/watch?v=N86Wpdxvha8
Bakhri,public,PT2M47S,,unknown,https://www.youtube.com/watch?v=1XqoC6Oa2YI
Bakhri hindi,public,PT2M49S,,unknown,https://www.youtube.com/watch?v=75qY2Sr8y5c
Bhore hindi,public,PT1M57S,,unknown,https://www.youtube.com/watch?v=FiPIZPa6ZuM
Arrah hindi,public,PT4M8S,,unknown,https://www.youtube.com/watch?v=FJHGHGayjto
Barhara hindi,public,PT4M40S,,unknown,https://www.youtube.com/watch?v=2X0anlE3wO8
Biharsharif hindi,public,PT3M37S,,unknown,https://www.youtube.com/watch?v=RJwoYWFpw4E
Baruraj hindi,public,PT4M24S,,unknown,https://www.youtube.com/watch?v=WU3MXgDksaA
Alauli,public,PT1M42S,,unknown,https://www.youtube.com/watch?v=tgXqqI97U28
Asthawan,public,PT2M33S,,unknown,https://www.youtube.com/watch?v=BGBAwrxMMJE
Bochahan,public,PT2M55S,,unknown,https://www.youtube.com/watch?v=nBEKRcWpzdY
Alauli hindi,public,PT1M50S,,unknown,https://www.youtube.com/watch?v=wzpC22qPbbo
Asthawan hindi,public,PT2M40S,,unknown,https://www.youtube.com/watch?v=LA2H-0SzgT4
Bochahan hindi,public,PT2M59S,,unknown,https://www.youtube.com/watch?v=4CJ9kbEevI8
Baikunthpur hindi,public,PT2M35S,,unknown,https://www.youtube.com/watch?v=Pryr0mxXtzk
Danapur hindi,public,PT2M39S,,unknown,https://www.youtube.com/watch?v=zL3NrlWkwfg
Baikunthpur,public,PT2M25S,,unknown,https://www.youtube.com/watch?v=HnsX2L3frmI
Danapur,public,PT2M36S,,unknown,https://www.youtube.com/watch?v=6y9r8urVXLE
Alinagar,public,PT4M7S,,unknown,https://www.youtube.com/watch?v=XPreHQbHFA0
Beldaur,public,PT4M48S,,unknown,https://www.youtube.com/watch?v=j0d4ZDlSJIA
Benipur,public,PT4M44S,,unknown,https://www.youtube.com/watch?v=KJtdcuAfrKg
Bibhutipur,public,PT4M50S,,unknown,https://www.youtube.com/watch?v=ii2rKjPcjA8
Buxar,public,PT5M16S,,unknown,https://www.youtube.com/watch?v=W-VIemsZxCo
Alauli,public,PT1M42S,,unknown,https://www.youtube.com/watch?v=tgXqqI97U28
Asthawan,public,PT2M33S,,unknown,https://www.youtube.com/watch?v=BGBAwrxMMJE
Bochahan,public,PT2M55S,,unknown,https://www.youtube.com/watch?v=nBEKRcWpzdY
Alauli hindi,public,PT1M50S,,unknown,https://www.youtube.com/watch?v=wzpC22qPbbo
Asthawan hindi,public,PT2M40S,,unknown,https://www.youtube.com/watch?v=LA2H-0SzgT4
Alinagar,public,PT4M7S,,unknown,https://www.youtube.com/watch?v=XPreHQbHFA0
Beldaur,public,PT4M48S,,unknown,https://www.youtube.com/watch?v=j0d4ZDlSJIA
Benipur,public,PT4M44S,,unknown,https://www.youtube.com/watch?v=KJtdcuAfrKg
Bibhutipur,public,PT4M50S,,unknown,https://www.youtube.com/watch?v=ii2rKjPcjA8
Buxar,public,PT5M16S,,unknown,https://www.youtube.com/watch?v=W-VIemsZxCo
Alamnagar hindi,public,PT3M42S,,unknown,https://www.youtube.com/watch?v=m-9j13wVaOw
Alinagar hindi,public,PT4M15S,,unknown,https://www.youtube.com/watch?v=5O7BGPwAW58
Barharia hindi,public,PT4M11S,,unknown,https://www.youtube.com/watch?v=lwovvY42UgY
Begusarai hindi,public,PT4M49S,,unknown,https://www.youtube.com/watch?v=csmxt_WRH1k
Beldaur hindi,public,PT5M3S,,unknown,https://www.youtube.com/watch?v=Ml6V_Q7SayE
